IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.19.81.19,8,8,0.00,151.07,36.11
104.19.12.76,8,8,0.00,153.14,23.71
104.19.110.22,8,8,0.00,152.50,18.97
104.19.109.8,8,8,0.00,153.25,15.31
104.19.35.139,8,8,0.00,152.98,10.69
104.19.39.126,8,8,0.00,164.98,31.77
104.19.86.213,8,8,0.00,164.72,14.53
104.17.34.250,8,8,0.00,164.50,14.41
104.16.239.160,8,8,0.00,164.90,7.76
104.18.241.59,8,8,0.00,165.28,2.66
104.19.35.181,8,8,0.00,152.44,25.51
104.19.92.235,8,8,0.00,152.30,22.75
104.19.47.92,8,8,0.00,151.60,17.68
104.19.123.78,8,8,0.00,152.11,10.48
104.19.34.193,8,8,0.00,152.43,2.42
104.19.23.253,8,8,0.00,170.67,17.44
104.18.127.15,8,8,0.00,169.04,15.96
104.19.127.94,8,8,0.00,171.15,14.71
104.19.39.105,8,8,0.00,168.71,7.06
198.41.206.201,8,8,0.00,163.75,0.04
